id,sku,name,description,unitCost,sellingPrice,stockQuantity,category,supplier,location,size,color,material,imageUrl,lastRestockDate
P001,WH-BT100,Premium Bluetooth Headphones,"High-quality over-ear noise cancelling headphones with 30-hour battery life",78.50,129.99,45,Electronics,AudioTech,Warehouse A,One Size,Black,Plastic/Metal,https://example.com/images/headphones.jpg,2023-11-15
P002,WH-MS200,Wireless Ergonomic Mouse,"Precision wireless mouse with ergonomic design and 6-month battery life",22.75,45.99,78,Electronics,TechGear,Warehouse B,Standard,Silver,Plastic,https://example.com/images/mouse.jpg,2023-11-12
P003,WH-KB300,Mechanical Gaming Keyboard,"Backlit mechanical keyboard with programmable keys and wrist rest",52.40,89.99,35,Electronics,GamerGear,Warehouse A,Full,RGB,Aluminum/Plastic,https://example.com/images/keyboard.jpg,2023-11-10
P004,WH-CB400,USB-C Braided Cable,"Premium 6ft braided USB-C to USB-A charging and data cable",5.60,12.99,120,Electronics,CablePro,Warehouse C,6ft,Black,Nylon,https://example.com/images/cable.jpg,2023-11-20
P005,WH-PB500,20000mAh Power Bank,"Fast-charging power bank with 20000mAh capacity and dual USB ports",28.30,49.99,62,Electronics,PowerPlus,Warehouse B,Compact,White,Aluminum,https://example.com/images/powerbank.jpg,2023-11-18
P006,WH-SP600,Bluetooth Smart Speaker,"360° sound smart speaker with voice assistant compatibility",45.25,79.99,40,Electronics,SoundWave,Warehouse A,Medium,Gray,Fabric/Plastic,https://example.com/images/speaker.jpg,2023-11-22
P007,WH-WC700,Wireless Charger Pad,"10W fast wireless charging pad compatible with all Qi devices",16.50,29.99,85,Electronics,ChargeTech,Warehouse C,Standard,Black,Plastic,https://example.com/images/charger.jpg,2023-11-14
P008,WH-EB800,Fitness Tracker,"Waterproof fitness tracker with heart rate monitor and sleep tracking",35.75,64.99,55,Electronics,FitGear,Warehouse B,One Size,Blue,Silicone/Plastic,https://example.com/images/tracker.jpg,2023-11-11
P009,WH-TB900,10-inch Tablet,"10-inch HD display tablet with quad-core processor and 64GB storage",125.00,219.99,28,Electronics,TabTech,Warehouse A,10-inch,Silver,Glass/Aluminum,https://example.com/images/tablet.jpg,2023-11-09
P010,WH-CC100,USB Card Reader,"Multi-format memory card reader with USB 3.0 interface",8.25,16.99,95,Electronics,DataPro,Warehouse C,Pocket,Black,Plastic,https://example.com/images/cardreader.jpg,2023-11-21
P011,WH-TS200,T-Shirt Basic,"100% cotton basic t-shirt with crew neck",7.50,19.99,120,Clothing,FashionBasics,Warehouse D,M,Blue,Cotton,https://example.com/images/tshirt.jpg,2023-11-16
P012,WH-TS201,T-Shirt Basic,"100% cotton basic t-shirt with crew neck",7.50,19.99,85,Clothing,FashionBasics,Warehouse D,L,Black,Cotton,https://example.com/images/tshirt-black.jpg,2023-11-16
P013,WH-TS202,T-Shirt Basic,"100% cotton basic t-shirt with crew neck",7.50,19.99,95,Clothing,FashionBasics,Warehouse D,XL,White,Cotton,https://example.com/images/tshirt-white.jpg,2023-11-16
P014,WH-HH300,Hoodie,"Heavyweight cotton blend hoodie with front pocket",18.25,39.99,68,Clothing,UrbanStyle,Warehouse D,L,Gray,Cotton/Polyester,https://example.com/images/hoodie.jpg,2023-11-17
P015,WH-JN400,Jeans Regular,"Classic five-pocket regular fit jeans",22.50,49.99,75,Clothing,DenimCo,Warehouse D,32,Blue,Denim,https://example.com/images/jeans.jpg,2023-11-19
P016,WH-JN401,Jeans Slim,"Five-pocket slim fit jeans",24.00,52.99,65,Clothing,DenimCo,Warehouse D,30,Dark Blue,Denim,https://example.com/images/jeans-slim.jpg,2023-11-19
P017,WH-SK500,Socks 3-Pack,"Set of 3 pairs of crew socks",5.25,12.99,130,Clothing,SockStop,Warehouse D,One Size,Mixed,Cotton/Elastane,https://example.com/images/socks.jpg,2023-11-23
P018,WH-CA600,Baseball Cap,"Adjustable cotton baseball cap with embroidered logo",8.75,18.99,95,Clothing,HeadGear,Warehouse D,One Size,Navy,Cotton,https://example.com/images/cap.jpg,2023-11-15
P019,WH-JK700,Lightweight Jacket,"Water-resistant lightweight jacket with hood",35.00,69.99,45,Clothing,OutwearPro,Warehouse D,M,Green,Polyester,https://example.com/images/jacket.jpg,2023-11-10
P020,WH-SW800,Sweatpants,"Comfortable cotton blend sweatpants with elastic waist",16.50,34.99,80,Clothing,ComfortWear,Warehouse D,M,Gray,Cotton/Polyester,https://example.com/images/sweatpants.jpg,2023-11-18
