date,productId,productName,quantity,unitPrice,totalAmount
2023-01-05,P001,Premium Headphones,3,149.99,449.97
2023-01-12,P001,Premium Headphones,5,149.99,749.95
2023-01-18,P001,Premium Headphones,2,149.99,299.98
2023-01-25,P001,Premium Headphones,4,149.99,599.96
2023-02-02,P001,Premium Headphones,1,159.99,159.99
2023-02-08,P001,Premium Headphones,3,159.99,479.97
2023-02-15,P001,Premium Headphones,2,159.99,319.98
2023-02-22,P001,Premium Headphones,5,159.99,799.95
2023-03-01,P001,Premium Headphones,2,169.99,339.98
2023-03-08,P001,Premium Headphones,4,169.99,679.96
2023-03-15,P001,Premium Headphones,3,169.99,509.97
2023-03-22,P001,Premium Headphones,1,169.99,169.99
2023-04-05,P001,Premium Headphones,2,159.99,319.98
2023-04-12,P001,Premium Headphones,4,159.99,639.96
2023-04-19,P001,Premium Headphones,3,159.99,479.97
2023-04-26,P001,Premium Headphones,5,159.99,799.95
2023-05-03,P001,Premium Headphones,3,149.99,449.97
2023-05-10,P001,Premium Headphones,6,149.99,899.94
2023-05-17,P001,Premium Headphones,2,149.99,299.98
2023-05-24,P001,Premium Headphones,4,149.99,599.96
2023-06-07,P001,Premium Headphones,5,139.99,699.95
2023-06-14,P001,Premium Headphones,7,139.99,979.93
2023-06-21,P001,Premium Headphones,3,139.99,419.97
2023-06-28,P001,Premium Headphones,4,139.99,559.96
2023-07-05,P002,Wireless Earbuds,10,79.99,799.90
2023-07-12,P002,Wireless Earbuds,8,79.99,639.92
2023-07-19,P002,Wireless Earbuds,6,79.99,479.94
2023-07-26,P002,Wireless Earbuds,9,79.99,719.91
2023-08-02,P002,Wireless Earbuds,5,89.99,449.95
2023-08-09,P002,Wireless Earbuds,7,89.99,629.93
2023-08-16,P002,Wireless Earbuds,4,89.99,359.96
2023-08-23,P002,Wireless Earbuds,6,89.99,539.94
2023-08-30,P002,Wireless Earbuds,8,89.99,719.92
2023-09-06,P002,Wireless Earbuds,3,99.99,299.97
2023-09-13,P002,Wireless Earbuds,5,99.99,499.95
2023-09-20,P002,Wireless Earbuds,2,99.99,199.98
2023-09-27,P002,Wireless Earbuds,4,99.99,399.96
2023-10-04,P002,Wireless Earbuds,6,89.99,539.94
2023-10-11,P002,Wireless Earbuds,8,89.99,719.92
2023-10-18,P002,Wireless Earbuds,4,89.99,359.96
2023-10-25,P002,Wireless Earbuds,7,89.99,629.93
2023-11-01,P002,Wireless Earbuds,5,79.99,399.95
2023-11-08,P002,Wireless Earbuds,9,79.99,719.91
2023-11-15,P002,Wireless Earbuds,7,79.99,559.93
2023-11-22,P002,Wireless Earbuds,11,69.99,769.89
2023-11-29,P002,Wireless Earbuds,13,69.99,909.87
2023-12-06,P002,Wireless Earbuds,10,69.99,699.90
2023-12-13,P002,Wireless Earbuds,15,69.99,1049.85
2023-12-20,P002,Wireless Earbuds,17,69.99,1189.83
2023-01-03,P003,Smart Watch Pro,2,199.99,399.98
2023-01-10,P003,Smart Watch Pro,1,199.99,199.99
2023-01-17,P003,Smart Watch Pro,3,199.99,599.97
2023-01-24,P003,Smart Watch Pro,2,199.99,399.98
2023-02-07,P003,Smart Watch Pro,4,219.99,879.96
2023-02-14,P003,Smart Watch Pro,2,219.99,439.98
2023-02-21,P003,Smart Watch Pro,1,219.99,219.99
2023-02-28,P003,Smart Watch Pro,3,219.99,659.97
2023-03-07,P003,Smart Watch Pro,2,229.99,459.98
2023-03-14,P003,Smart Watch Pro,4,229.99,919.96
2023-03-21,P003,Smart Watch Pro,3,229.99,689.97
2023-03-28,P003,Smart Watch Pro,2,229.99,459.98
2023-04-04,P003,Smart Watch Pro,1,219.99,219.99
2023-04-11,P003,Smart Watch Pro,3,219.99,659.97
2023-04-18,P003,Smart Watch Pro,2,219.99,439.98
2023-04-25,P003,Smart Watch Pro,4,219.99,879.96
2023-05-02,P004,Portable Bluetooth Speaker,5,59.99,299.95
2023-05-09,P004,Portable Bluetooth Speaker,7,59.99,419.93
2023-05-16,P004,Portable Bluetooth Speaker,3,59.99,179.97
2023-05-23,P004,Portable Bluetooth Speaker,6,59.99,359.94
2023-05-30,P004,Portable Bluetooth Speaker,4,64.99,259.96
2023-06-06,P004,Portable Bluetooth Speaker,8,64.99,519.92
