date,productId,productName,quantity,unitPrice,totalAmount
2023-12-19,P006,Mechanical Keyboard,5,129.99,649.95
2023-10-27,P009,Fitness Tracker,19,85.63,1626.97
2024-12-24,P010,Bluetooth Speaker,5,56.23,281.15
2023-04-09,P007,1080p Webcam,5,93.78,468.9
2024-08-17,P006,Mechanical Keyboard,2,131.24,262.48
2024-11-19,P003,Smart Watch Pro,9,214.54,1930.86
2023-03-09,P004,4K Action Camera,3,326.46,979.38
2024-06-01,P006,Mechanical Keyboard,14,134.55,1883.7
2023-12-06,P005,Gaming Mouse,15,55.38,830.7
2023-04-20,P006,Mechanical Keyboard,8,130.16,1041.28
2023-10-10,P001,Premium Headphones,17,142.13,2416.21
2024-07-22,P006,Mechanical Keyboard,1,117.62,117.62
2024-06-21,P007,1080p Webcam,4,90.41,361.64
2024-03-17,P005,Gaming Mouse,12,58.82,705.84
2023-03-27,P004,4K Action Camera,5,305.67,1528.35
2023-07-01,P002,Wireless Earbuds,3,106.39,319.17
2024-01-13,P006,Mechanical Keyboard,2,131.69,263.38
2023-12-15,P003,Smart Watch Pro,5,184.22,921.1
2023-02-23,P006,Mechanical Keyboard,1,134.49,134.49
2024-08-30,P003,Smart Watch Pro,2,185.23,370.46
2023-11-17,P010,Bluetooth Speaker,11,63.07,693.77
2024-11-08,P009,Fitness Tracker,18,86.68,1560.24
2023-02-03,P008,Noise Cancelling Headphones,15,212.74,3191.1
2024-12-31,P007,1080p Webcam,5,92.84,464.2
2024-02-11,P007,1080p Webcam,17,93.88,1595.96
2024-06-13,P003,Smart Watch Pro,20,186.18,3723.6
2024-12-13,P002,Wireless Earbuds,20,103.66,2073.2
2023-05-06,P004,4K Action Camera,14,315.72,4420.08
2023-08-18,P005,Gaming Mouse,19,62.17,1181.23
2023-03-24,P008,Noise Cancelling Headphones,12,211.34,2536.08
2024-06-07,P010,Bluetooth Speaker,3,62.05,186.15
2023-04-12,P006,Mechanical Keyboard,16,134.95,2159.2
2024-08-31,P002,Wireless Earbuds,11,98.71,1085.81
2024-08-05,P007,1080p Webcam,8,89.91,719.28
2024-03-27,P009,Fitness Tracker,6,84.78,508.68
2023-05-10,P008,Noise Cancelling Headphones,2,187.09,374.18
2023-12-19,P004,4K Action Camera,18,306.09,5509.62
2024-08-12,P007,1080p Webcam,8,93.08,744.64
2024-05-14,P008,Noise Cancelling Headphones,17,209.24,3557.08
2023-08-09,P009,Fitness Tracker,16,76.12,1217.92
2024-06-09,P010,Bluetooth Speaker,7,58.85,411.95
2024-08-05,P008,Noise Cancelling Headphones,18,202.51,3645.18
2024-09-20,P008,Noise Cancelling Headphones,6,196.78,1180.68
2023-10-27,P002,Wireless Earbuds,1,102.09,102.09
2024-11-10,P010,Bluetooth Speaker,6,61.55,369.3
2023-03-09,P010,Bluetooth Speaker,15,58.82,882.3
2024-05-06,P003,Smart Watch Pro,13,188.46,2449.98
2023-05-23,P001,Premium Headphones,5,157.61,788.05
2024-02-26,P005,Gaming Mouse,4,56.56,226.24
2024-03-15,P006,Mechanical Keyboard,15,117.03,1755.45
2023-02-16,P004,4K Action Camera,3,325.73,977.19
2023-07-01,P010,Bluetooth Speaker,15,57.29,859.35
2023-12-30,P008,Noise Cancelling Headphones,7,219.78,1538.46
2024-11-20,P010,Bluetooth Speaker,17,55.63,945.71
2023-10-13,P010,Bluetooth Speaker,18,55.15,992.7
2024-09-19,P003,Smart Watch Pro,13,216.53,2814.89
2023-04-18,P009,Fitness Tracker,10,82.1,821.0
2023-12-24,P004,4K Action Camera,15,275.5,4132.5
2024-10-28,P008,Noise Cancelling Headphones,17,187.46,3186.82
2024-05-20,P001,Premium Headphones,20,147.52,2950.4
2024-12-22,P008,Noise Cancelling Headphones,15,188.31,2824.65
2023-06-08,P004,4K Action Camera,11,296.05,3256.55
2023-07-21,P004,4K Action Camera,2,311.9,623.8
2024-01-08,P008,Noise Cancelling Headphones,14,218.33,3056.62
2023-11-30,P005,Gaming Mouse,10,61.62,616.2
2024-12-20,P007,1080p Webcam,6,86.12,516.72
2023-09-29,P005,Gaming Mouse,18,59.8,1076.4
2023-12-25,P003,Smart Watch Pro,2,199.73,399.46
2024-09-24,P009,Fitness Tracker,10,81.57,815.7
2023-05-21,P006,Mechanical Keyboard,1,121.31,121.31
2023-10-31,P002,Wireless Earbuds,15,106.32,1594.8
2023-01-31,P001,Premium Headphones,4,136.14,544.56
2024-01-11,P008,Noise Cancelling Headphones,9,199.4,1794.6
2023-09-10,P008,Noise Cancelling Headphones,10,213.31,2133.1
2023-03-12,P007,1080p Webcam,16,92.49,1479.84
2024-08-15,P010,Bluetooth Speaker,10,62.89,628.9
2024-04-24,P007,1080p Webcam,20,86.02,1720.4
2023-02-05,P002,Wireless Earbuds,6,92.3,553.8
2024-08-24,P008,Noise Cancelling Headphones,18,195.76,3523.68
2024-02-09,P009,Fitness Tracker,20,87.93,1758.6
2023-08-04,P001,Premium Headphones,12,156.45,1877.4
2023-08-07,P009,Fitness Tracker,8,83.74,669.92
2024-12-24,P002,Wireless Earbuds,3,90.46,271.38
2024-09-13,P007,1080p Webcam,16,94.95,1519.2
2023-02-04,P010,Bluetooth Speaker,14,57.39,803.46
2024-01-02,P002,Wireless Earbuds,16,98.44,1575.04
2023-01-14,P009,Fitness Tracker,3,83.72,251.16
2024-09-21,P010,Bluetooth Speaker,3,62.65,187.95
2023-12-12,P010,Bluetooth Speaker,11,65.71,722.81
2024-05-29,P009,Fitness Tracker,11,79.83,878.13
2024-08-13,P002,Wireless Earbuds,5,105.76,528.8
2024-11-24,P002,Wireless Earbuds,3,103.74,311.22
