date,productName,productId,quantity,unitPrice,totalAmount
2023-01-01,Basic T-Shirt,,3,19.99,59.97
2023-01-01,Denim Jeans,,1,49.99,49.99
2023-01-02,Leather Wallet,,2,29.99,59.98
2023-01-03,Cotton Socks,,5,5.99,29.95
2023-01-03,Baseball Cap,,1,15.99,15.99
2023-01-04,Running Shoes,,1,89.99,89.99
2023-01-05,Hooded Sweatshirt,,2,35.99,71.98
2023-01-06,Smartphone Case,,3,12.99,38.97
2023-01-07,Wireless Earbuds,,1,59.99,59.99
2023-01-08,Backpack,,1,45.99,45.99
2023-01-09,Sunglasses,,2,24.99,49.98
2023-01-10,Watch,,1,129.99,129.99
2023-01-11,Yoga Mat,,1,29.99,29.99
2023-01-12,Water Bottle,,3,14.99,44.97
2023-01-13,Fitness Tracker,,1,79.99,79.99
2023-01-14,Gaming Mouse,,2,49.99,99.98
2023-01-15,Keyboard,,1,65.99,65.99
2023-01-16,Headphones,,1,89.99,89.99
2023-01-17,Laptop Sleeve,,2,19.99,39.98
2023-01-18,Power Bank,,3,29.99,89.97
2023-01-19,USB Cable,,5,9.99,49.95
2023-01-20,Wireless Charger,,2,24.99,49.98
2023-01-21,Desk Lamp,,1,34.99,34.99
2023-01-22,Notebook,,4,4.99,19.96
2023-01-23,Pen Set,,3,12.99,38.97
2023-01-24,Desk Organizer,,1,18.99,18.99
2023-01-25,Calendar,,2,9.99,19.98
2023-01-26,Stapler,,1,7.99,7.99
2023-01-27,Scissors,,2,5.99,11.98
2023-01-28,Tape Dispenser,,1,6.99,6.99
2023-01-29,Paperclips,,3,2.99,8.97
2023-01-30,Binder,,2,8.99,17.98
2023-01-31,Desk Chair,,1,149.99,149.99
2023-02-01,Basic T-Shirt,,2,19.99,39.98
2023-02-02,Denim Jeans,,1,49.99,49.99
2023-02-03,Leather Wallet,,1,29.99,29.99
2023-02-04,Cotton Socks,,4,5.99,23.96
2023-02-05,Baseball Cap,,2,15.99,31.98
2023-02-06,Running Shoes,,1,89.99,89.99
2023-02-07,Hooded Sweatshirt,,1,35.99,35.99
2023-02-08,Smartphone Case,,2,12.99,25.98
2023-02-09,Wireless Earbuds,,1,59.99,59.99
2023-02-10,Backpack,,1,45.99,45.99
2023-02-11,Sunglasses,,1,24.99,24.99
2023-02-12,Watch,,1,129.99,129.99
2023-02-13,Yoga Mat,,2,29.99,59.98
2023-02-14,Water Bottle,,1,14.99,14.99
2023-02-15,Fitness Tracker,,1,79.99,79.99
2023-02-16,Gaming Mouse,,1,49.99,49.99
2023-02-17,Keyboard,,1,65.99,65.99
2023-02-18,Headphones,,1,89.99,89.99
2023-02-19,Laptop Sleeve,,1,19.99,19.99
2023-02-20,Power Bank,,2,29.99,59.98
2023-02-21,USB Cable,,3,9.99,29.97
2023-02-22,Wireless Charger,,1,24.99,24.99
2023-02-23,Desk Lamp,,1,34.99,34.99
2023-02-24,Notebook,,2,4.99,9.98
2023-02-25,Pen Set,,1,12.99,12.99
2023-02-26,Desk Organizer,,1,18.99,18.99
2023-02-27,Calendar,,1,9.99,9.99
2023-02-28,Stapler,,1,7.99,7.99
2023-03-01,Scissors,,1,5.99,5.99
2023-03-02,Tape Dispenser,,2,6.99,13.98
2023-03-03,Paperclips,,2,2.99,5.98
2023-03-04,Binder,,1,8.99,8.99
2023-03-05,Desk Chair,,1,149.99,149.99
2023-03-06,Basic T-Shirt,,4,19.99,79.96
2023-03-07,Denim Jeans,,2,49.99,99.98
2023-03-08,Leather Wallet,,1,29.99,29.99
2023-03-09,Cotton Socks,,3,5.99,17.97
2023-03-10,Baseball Cap,,1,15.99,15.99
2023-03-11,Running Shoes,,1,89.99,89.99
2023-03-12,Hooded Sweatshirt,,2,35.99,71.98
2023-03-13,Smartphone Case,,1,12.99,12.99
2023-03-14,Wireless Earbuds,,1,59.99,59.99
2023-03-15,Backpack,,1,45.99,45.99
2023-03-16,Sunglasses,,2,24.99,49.98
2023-03-17,Watch,,1,129.99,129.99
2023-03-18,Yoga Mat,,1,29.99,29.99
2023-03-19,Water Bottle,,2,14.99,29.98
2023-03-20,Fitness Tracker,,1,79.99,79.99
2023-03-21,Gaming Mouse,,2,49.99,99.98
2023-03-22,Keyboard,,1,65.99,65.99
2023-03-23,Headphones,,1,89.99,89.99
2023-03-24,Laptop Sleeve,,2,19.99,39.98
2023-03-25,Power Bank,,1,29.99,29.99
2023-03-26,USB Cable,,4,9.99,39.96
2023-03-27,Wireless Charger,,1,24.99,24.99
2023-03-28,Desk Lamp,,1,34.99,34.99
2023-03-29,Notebook,,3,4.99,14.97
2023-03-30,Pen Set,,2,12.99,25.98
2023-03-31,Desk Organizer,,1,18.99,18.99
2023-04-01,Calendar,,2,9.99,19.98
2023-04-02,Stapler,,1,7.99,7.99
2023-04-03,Scissors,,1,5.99,5.99
2023-04-04,Tape Dispenser,,1,6.99,6.99
2023-04-05,Paperclips,,2,2.99,5.98
2023-04-06,Binder,,2,8.99,17.98
2023-04-07,Desk Chair,,1,149.99,149.99
2023-04-08,Basic T-Shirt,,3,19.99,59.97
2023-04-09,Denim Jeans,,1,49.99,49.99
2023-04-10,Leather Wallet,,2,29.99,59.98
2023-04-11,Cotton Socks,,2,5.99,11.98
2023-04-12,Baseball Cap,,2,15.99,31.98
2023-04-13,Running Shoes,,1,89.99,89.99
2023-04-14,Hooded Sweatshirt,,2,35.99,71.98
2023-04-15,Smartphone Case,,3,12.99,38.97
2023-04-16,Wireless Earbuds,,1,59.99,59.99
2023-04-17,Backpack,,1,45.99,45.99
2023-04-18,Sunglasses,,1,24.99,24.99
2023-04-19,Watch,,1,129.99,129.99
2023-04-20,Yoga Mat,,2,29.99,59.98
2023-04-21,Water Bottle,,2,14.99,29.98
2023-04-22,Fitness Tracker,,1,79.99,79.99
2023-04-23,Gaming Mouse,,2,49.99,99.98
2023-04-24,Keyboard,,1,65.99,65.99
2023-04-25,Headphones,,1,89.99,89.99
2023-04-26,Laptop Sleeve,,1,19.99,19.99
2023-04-27,Power Bank,,2,29.99,59.98
2023-04-28,USB Cable,,3,9.99,29.97
2023-04-29,Wireless Charger,,1,24.99,24.99
2023-04-30,Desk Lamp,,1,34.99,34.99
2023-05-01,Notebook,,5,4.99,24.95
