date,productId,productName,quantity,unitPrice,totalAmount
2023-01-15,SKU001,Cotton T-Shirt (Black),12,19.99,239.88
2023-01-22,SKU001,Cotton T-Shirt (Black),8,19.99,159.92
2023-01-29,SKU001,Cotton T-Shirt (Black),15,19.99,299.85
2023-02-05,SKU001,Cotton T-Shirt (Black),10,24.99,249.90
2023-02-12,SKU001,Cotton T-Shirt (Black),18,24.99,449.82
2023-02-19,SKU001,Cotton T-Shirt (Black),22,24.99,549.78
2023-02-26,SKU001,Cotton T-Shirt (Black),14,24.99,349.86
2023-03-05,SKU001,Cotton T-Shirt (Black),11,22.99,252.89
2023-03-12,SKU001,Cotton T-Shirt (Black),16,22.99,367.84
2023-03-19,SKU001,Cotton T-Shirt (Black),19,22.99,436.81
2023-01-15,SKU002,Premium Hoodie (Gray),5,39.99,199.95
2023-01-22,SKU002,Premium Hoodie (Gray),7,39.99,279.93
2023-01-29,SKU002,Premium Hoodie (Gray),4,39.99,159.96
2023-02-05,SKU002,Premium Hoodie (Gray),3,44.99,134.97
2023-02-12,SKU002,Premium Hoodie (Gray),8,44.99,359.92
2023-02-19,SKU002,Premium Hoodie (Gray),6,44.99,269.94
2023-02-26,SKU002,Premium Hoodie (Gray),4,44.99,179.96
2023-03-05,SKU002,Premium Hoodie (Gray),9,42.99,386.91
2023-03-12,SKU002,Premium Hoodie (Gray),7,42.99,300.93
2023-03-19,SKU002,Premium Hoodie (Gray),11,42.99,472.89
2023-01-15,SKU003,Denim Jeans (Blue),6,59.99,359.94
2023-01-22,SKU003,Denim Jeans (Blue),4,59.99,239.96
2023-01-29,SKU003,Denim Jeans (Blue),7,59.99,419.93
2023-02-05,SKU003,Denim Jeans (Blue),5,64.99,324.95
2023-02-12,SKU003,Denim Jeans (Blue),9,64.99,584.91
2023-02-19,SKU003,Denim Jeans (Blue),8,64.99,519.92
2023-02-26,SKU003,Denim Jeans (Blue),6,64.99,389.94
2023-03-05,SKU003,Denim Jeans (Blue),4,69.99,279.96
2023-03-12,SKU003,Denim Jeans (Blue),7,69.99,489.93
2023-03-19,SKU003,Denim Jeans (Blue),5,69.99,349.95 
